"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"261",2006-04-25 01:00:00,2006-04-25,0.02,0.25,0.176,0.11,0.088,0.04,0.02,0.001,0,FALSE
"262",2006-04-25 20:45:00,2006-04-25,2.77,4.5,1.997,1.997,1.997,1.509,0.994,0.261,0.393,TRUE
"263",2006-04-26 20:00:00,2006-04-26,0.5,3.25,0.799,0.608,0.608,0.365,0.243,0.04,0.015,FALSE
"264",2006-04-30 00:15:00,2006-04-30,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"265",2006-04-30 20:00:00,2006-04-30,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"266",2006-05-01 21:45:00,2006-05-01,0.06,1.75,0.16,0.1,0.08,0.05,0.04,0.004,0,FALSE
"267",2006-05-02 21:00:00,2006-05-02,0.07,3.5,0.124,0.08,0.08,0.06,0.048,0.005,0,FALSE
"268",2006-05-03 21:00:00,2006-05-03,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"269",2006-05-04 20:15:00,2006-05-04,1.52,6.75,0.747,0.747,0.747,0.493,0.415,0.131,0.064,FALSE
"270",2006-05-05 21:00:00,2006-05-05,0.81,6,0.507,0.507,0.507,0.317,0.25,0.067,0.021,FALSE
"271",2006-05-07 20:00:00,2006-05-07,1.22,6.75,0.597,0.597,0.597,0.559,0.42,0.105,0.059,FALSE
"272",2006-05-08 09:45:00,2006-05-08,0.77,4.75,2.195,1.252,0.938,0.501,0.337,0.053,0.026,TRUE
"273",2006-05-09 20:45:00,2006-05-09,0.7,4.25,0.353,0.353,0.353,0.34,0.323,0.058,0.02,FALSE
"274",2006-05-10 20:15:00,2006-05-10,1.41,7.25,0.666,0.427,0.367,0.36,0.348,0.117,0.042,FALSE
"275",2006-05-11 10:00:00,2006-05-11,44.6,13.25,66.591,66.591,66.591,49.043,29.169,10.436,511.804,TRUE
"276",2006-05-12 20:15:00,2006-05-12,3.73,9.75,2.087,2.087,2.087,1.899,1.301,0.355,0.674,TRUE
"277",2006-05-13 14:30:00,2006-05-13,1.82,14.25,0.639,0.502,0.484,0.468,0.453,0.155,0.073,FALSE
"278",2006-05-14 19:45:00,2006-05-14,2.83,10.75,2.951,2.951,2.951,2.07,1.248,0.28,0.58,TRUE
"279",2006-05-15 12:30:00,2006-05-15,17.73,12.5,33.065,29.948,28.908,18.731,9.502,4.003,74.977,TRUE
"280",2006-05-16 21:15:00,2006-05-16,0.08,3.25,0.16,0.1,0.08,0.06,0.044,0.006,0,FALSE
"281",2006-05-17 14:00:00,2006-05-17,0.44,12.75,1.421,1.194,1.118,0.564,0.287,0.037,0.021,FALSE
"282",2006-05-18 14:00:00,2006-05-18,0.51,8.25,1.528,0.951,0.759,0.431,0.267,0.036,0.015,TRUE
"283",2006-05-19 04:15:00,2006-05-19,1.2,7.75,1.958,1.958,1.958,1.743,1.037,0.122,0.213,FALSE
"284",2006-05-20 03:45:00,2006-05-20,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0,FALSE
"285",2006-05-21 12:15:00,2006-05-21,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"286",2006-05-23 20:30:00,2006-05-23,0.04,0.5,0.2,0.14,0.12,0.08,0.04,0.002,0,FALSE
"287",2006-05-24 03:45:00,2006-05-24,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"288",2006-05-24 20:15:00,2006-05-24,0.48,7.75,0.333,0.333,0.333,0.333,0.28,0.04,0.013,FALSE
"289",2006-05-25 11:00:00,2006-05-25,0.26,12.75,0.24,0.24,0.24,0.125,0.068,0.02,0.003,FALSE
"290",2006-05-26 09:15:00,2006-05-26,1.02,5.25,2.026,2.026,2.026,1.261,0.673,0.099,0.125,TRUE
"291",2006-05-26 21:15:00,2006-05-26,0.06,0.25,0.516,0.294,0.22,0.12,0.06,0.001,0,FALSE
"292",2006-05-28 20:30:00,2006-05-28,0.34,3.5,0.28,0.18,0.167,0.157,0.137,0.027,0.004,FALSE
"293",2006-05-30 06:30:00,2006-05-30,0.02,0,0.24,0.12,0.08,0.04,0.02,0,0,FALSE
"294",2006-05-30 23:00:00,2006-05-30,0.01,0,0.12,0.06,0.04,0.02,0.01,0,0,FALSE
"295",2006-05-31 21:00:00,2006-05-31,0.05,1,0.173,0.113,0.093,0.062,0.053,0.004,0,FALSE
"296",2006-06-01 18:45:00,2006-06-01,3.41,1,14.303,12.056,11.307,6.389,3.409,0.536,3.423,FALSE
"297",2006-06-02 19:45:00,2006-06-02,17.86,13.5,12.48,12.48,12.48,8.758,5.231,2.861,25.059,TRUE
"298",2006-06-05 14:30:00,2006-06-05,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"299",2006-06-08 17:30:00,2006-06-08,2.12,12.5,2.452,2.066,1.938,1.45,0.899,0.198,0.287,TRUE
"300",2006-06-09 14:45:00,2006-06-09,0.22,1.25,1.608,0.889,0.649,0.352,0.203,0.008,0.003,FALSE
"301",2006-06-12 03:45:00,2006-06-12,5.11,5.5,2.907,2.907,2.907,2.837,2.502,0.547,1.552,TRUE
"302",2006-06-14 19:00:00,2006-06-14,1.1,0.75,3.596,3.028,2.839,2.129,1.1,0.112,0.239,FALSE
"303",2006-06-19 14:45:00,2006-06-19,13.23,16.25,27.334,26.433,26.133,17.26,10.866,2.759,47.619,TRUE
"304",2006-06-22 07:45:00,2006-06-22,0.11,1.5,0.224,0.154,0.154,0.112,0.065,0.008,0.001,FALSE
"305",2006-06-22 23:30:00,2006-06-22,5.17,3,6.306,6.306,6.306,4.327,2.801,0.663,2.869,TRUE
"306",2006-06-24 00:00:00,2006-06-24,0.07,0.5,0.624,0.336,0.24,0.144,0.07,0.002,0,FALSE
